Ger: 0001 | Modo: DIFICIL | Fit Médio:  3410.4 | Tx Vitória Campeão:  0.0% | Estagnação: 00 | Status: Novo Recorde de Adaptação
Ger: 0048 | Modo: DIFICIL | Fit Médio: 22087.2 | Tx Vitória Campeão: 33.3% | Estagnação: 06 | Status: Estagnado
Ger: 0049 | Modo: DIFICIL | Fit Médio: 23896.0 | Tx Vitória Campeão: 33.3% | Estagnação: 07 | Status: Estagnado
Ger: 0050 | Modo: DIFICIL | Fit Médio: 23194.2 | Tx Vitória Campeão: 33.3% | Estagnação: 08 | Status: Estagnado
Ger: 0051 | Modo: DIFICIL | Fit Médio: 22627.0 | Tx Vitória Campeão: 33.3% | Estagnação: 09 | Status: Estagnado
Ger: 0052 | Modo: DIFICIL | Fit Médio: 24941.7 | Tx Vitória Campeão: 33.3% | Estagnação: 10 | Status: Estagnado
Ger: 0053 | Modo: DIFICIL | Fit Médio:  6304.9 | Tx Vitória Campeão:  0.0% | Estagnação: 11 | Status: Estagnado
Ger: 0054 | Modo: DIFICIL | Fit Médio: 22903.0 | Tx Vitória Campeão: 33.3% | Estagnação: 12 | Status: Estagnado
Ger: 0055 | Modo: DIFICIL | Fit Médio: 22647.7 | Tx Vitória Campeão: 33.3% | Estagnação: 13 | Status: Estagnado
Ger: 0056 | Modo: DIFICIL | Fit Médio: 43744.6 | Tx Vitória Campeão: 66.7% | Estagnação: 00 | Status: Novo Recorde de Adaptação
Ger: 0057 | Modo: DIFICIL | Fit Médio:  5961.0 | Tx Vitória Campeão:  0.0% | Estagnação: 01 | Status: Estagnado
Ger: 0058 | Modo: DIFICIL | Fit Médio: 22480.2 | Tx Vitória Campeão: 33.3% | Estagnação: 02 | Status: Estagnado
Ger: 0059 | Modo: DIFICIL | Fit Médio: 25182.8 | Tx Vitória Campeão: 33.3% | Estagnação: 03 | Status: Estagnado
Ger: 0060 | Modo: DIFICIL | Fit Médio: 23384.3 | Tx Vitória Campeão: 33.3% | Estagnação: 04 | Status: Estagnado
Ger: 0061 | Modo: DIFICIL | Fit Médio: 25121.3 | Tx Vitória Campeão: 33.3% | Estagnação: 05 | Status: Estagnado
Ger: 0062 | Modo: DIFICIL | Fit Médio: 22002.4 | Tx Vitória Campeão: 33.3% | Estagnação: 06 | Status: Estagnado
Ger: 0063 | Modo: DIFICIL | Fit Médio: 22501.4 | Tx Vitória Campeão: 33.3% | Estagnação: 07 | Status: Estagnado
Ger: 0064 | Modo: DIFICIL | Fit Médio: 24717.0 | Tx Vitória Campeão: 33.3% | Estagnação: 08 | Status: Estagnado
Ger: 0065 | Modo: DIFICIL | Fit Médio: 24801.9 | Tx Vitória Campeão: 33.3% | Estagnação: 09 | Status: Estagnado
Ger: 0066 | Modo: DIFICIL | Fit Médio: 23153.9 | Tx Vitória Campeão: 33.3% | Estagnação: 10 | Status: Estagnado
Ger: 0067 | Modo: DIFICIL | Fit Médio: 62259.6 | Tx Vitória Campeão: 100.0% | Estagnação: 10 | Status: OBJETIVO DE GENERALIZAÇÃO ATINGIDO!
